student,course,Year_num,Year,Grade
18154199,COR1005,2012,2012-2013,5.7
18154199,SSC1009,2012,2012-2013,7.8
18154199,SKI1008,2012,2012-2013,7.9
18154199,SCI1016,2012,2012-2013,5.8
18154199,SKI1009,2012,2012-2013,7.5
18154199,HUM1013,2012,2012-2013,5.9
18154199,PRO1010,2012,2012-2013,8.2
18154199,SKI1004,2012,2012-2013,4.6
18154199,SKI1004,2012,2012-2013,5.6
18154199,SCI2012,2012,2012-2013,5.5
18154199,SSC1025,2012,2012-2013,6.3
18154199,COR1004,2012,2012-2013,5.9
18154199,SKI1005,2012,2012-2013,4.7
18154199,SKI1005,2012,2012-2013,4.5
18154199,SSC3015,2012,2012-2013,7.8
18154199,PRO1011,2012,2012-2013,8.6
18156032,HUM1011,2012,2012-2013,8
18156032,HUM2003,2012,2012-2013,8
18156032,SKI1008,2012,2012-2013,8.5
18156032,COR1004,2012,2012-2013,6.8
18156032,HUM2018,2012,2012-2013,8.6
18156032,SKI1009,2012,2012-2013,8.8
18156032,PRO1010,2012,2012-2013,7.9
18156032,HUM1003,2012,2012-2013,7.8
18156032,SKI1004,2012,2012-2013,9
18156032,SSC1006,2012,2012-2013,8.4
18156032,SKI1005,2012,2012-2013,7.4
18156032,SSC2008,2012,2012-2013,8.5
18156032,PRO1011,2012,2012-2013,9
18156248,COR1003,2012,2012-2013,3.3
18156248,COR1003,2012,2012-2013,5.9
18156248,SSC1009,2012,2012-2013,6.4
18156248,SKI1008,2012,2012-2013,7.8
18156248,HUM1007,2012,2012-2013,7.7
18156248,SKI1009,2012,2012-2013,8.1
18156248,SSC1027,2012,2012-2013,5.7
18156248,PRO1010,2012,2012-2013,7.6
18156248,SKI1004,2012,2012-2013,3.6
18156248,SKI1004,2012,2012-2013,7.6
18156248,SSC2043,2012,2012-2013,5.2
18156248,COR1004,2012,2012-2013,1.5
18156248,PRO1011,2012,2012-2013,8
18156485,SKI1008,2012,2012-2013,3.4
18156731,HUM1011,2012,2012-2013,7
18156731,SSC1009,2012,2012-2013,6.5
18156731,SKI1008,2012,2012-2013,7.7
18156731,COR1004,2012,2012-2013,7.6
18156731,HUM2022,2012,2012-2013,7.8
18156731,SKI1009,2012,2012-2013,7.4
18156731,PRO1010,2012,2012-2013,7.8
18156731,COR1005,2012,2012-2013,5.8
18156731,SSC1007,2012,2012-2013,6
18156731,SKI1004,2012,2012-2013,7.6
18156731,SKI1005,2012,2012-2013,6.6
18156731,SSC1006,2012,2012-2013,4.3
18156731,SSC2012,2012,2012-2013,3.4
18156986,COR1003,2012,2012-2013,5.6
18156986,SSC1009,2012,2012-2013,7.4
18156986,SKI1008,2012,2012-2013,7
18156986,SCI1016,2012,2012-2013,6.9
18156986,SKI1009,2012,2012-2013,7.9
18156986,SSC1027,2012,2012-2013,5.1
18156986,SSC1027,2012,2012-2013,7
18156986,PRO1010,2012,2012-2013,7.7
18156986,SSC1007,2012,2012-2013,6.5
18156986,SKI1004,2012,2012-2013,6.8
18156986,SSC2018,2012,2012-2013,8
18156986,SSC2043,2012,2012-2013,6.9
18156986,COR1004,2012,2012-2013,6.7
18156986,SKI1005,2012,2012-2013,7
18156986,PRO1011,2012,2012-2013,8
18157373,SSC1001,2012,2012-2013,5.9
18157373,SSC1005,2012,2012-2013,5.4
18157373,SSC1005,2012,2012-2013,5.1
18157373,SKI1008,2012,2012-2013,7
18157373,HUM1007,2012,2012-2013,7.1
18157373,SSC2019,2012,2012-2013,5.6
18157373,SKI1009,2012,2012-2013,6.3
18157373,PRO1010,2012,2012-2013,8.2
18157373,SSC1007,2012,2012-2013,5
